"Start","15/2/1950"
"End","15/2/2007"
"Frequency","D"
"Name","US CONSUMPTION EXPEND. - HOUSEHOLDS & NPISH (% CURRENT GDP) SADJ"
"Code","USESNHHYQ"
"CURRENCY",
"15/2/1950",65.6
"15/5/1950",64.7
"15/8/1950",65.4
"15/11/1950",62.4
"15/2/1951",63.1
"15/5/1951",60.3
"15/8/1951",59.8
"15/11/1951",60.1
"15/2/1952",59.6
"15/5/1952",60.7
"15/8/1952",60.6
"15/11/1952",60.7
"15/2/1953",60.3
"15/5/1953",60.2
"15/8/1953",60.5
"15/11/1953",61
"15/2/1954",61.5
"15/5/1954",62.3
"15/8/1954",62.4
"15/11/1954",62.5
"15/2/1955",62.1
"15/5/1955",62.2
"15/8/1955",62.2
"15/11/1955",62.6
"15/2/1956",63
"15/5/1956",62.7
"15/8/1956",62.9
"15/11/1956",62.7
"15/2/1957",62.8
"15/5/1957",63
"15/8/1957",63
"15/11/1957",63.7
"15/2/1958",64.5
"15/5/1958",64.7
"15/8/1958",64.2
"15/11/1958",63.6
"15/2/1959",63.4
"15/5/1959",62.8
"15/8/1959",63.6
"15/11/1959",63.4
"15/2/1960",62.6
"15/5/1960",63.7
"15/8/1960",63.4
"15/11/1960",64.3
"15/2/1961",63.9
"15/5/1961",63.6
"15/8/1961",62.9
"15/11/1961",62.9
"15/2/1962",62.4
"15/5/1962",62.5
"15/8/1962",62.5
"15/11/1962",63.2
"15/2/1963",62.8
"15/5/1963",62.6
"15/8/1963",62.3
"15/11/1963",62.3
"15/2/1964",62.2
"15/5/1964",62.6
"15/8/1964",62.9
"15/11/1964",62.9
"15/2/1965",62.7
"15/5/1965",62.6
"15/8/1965",62.4
"15/11/1965",62.6
"15/2/1966",62
"15/5/1966",62
"15/8/1966",62.3
"15/11/1966",62
"15/2/1967",61.8
"15/5/1967",62.7
"15/8/1967",62.5
"15/11/1967",62.4
"15/2/1968",62.6
"15/5/1968",62.5
"15/8/1968",63.2
"15/11/1968",63.2
"15/2/1969",63
"15/5/1969",63.2
"15/8/1969",63.1
"15/11/1969",63.9
"15/2/1970",64.4
"15/5/1970",64.5
"15/8/1970",64.5
"15/11/1970",65.1
"15/2/1971",62
"15/5/1971",62.1
"15/8/1971",62.1
"15/11/1971",62.8
"15/2/1972",62.3
"15/5/1972",62
"15/8/1972",62.3
"15/11/1972",62.4
"15/2/1973",62
"15/5/1973",61.5
"15/8/1973",61.9
"15/11/1973",61.2
"15/2/1974",61.9
"15/5/1974",62.2
"15/8/1974",62.9
"15/11/1974",62
"15/2/1975",63
"15/5/1975",63.4
"15/8/1975",63.2
"15/11/1975",63
"15/2/1976",62.8
"15/5/1976",62.8
"15/8/1976",63.3
"15/11/1976",63.5
"15/2/1977",63.6
"15/5/1977",62.8
"15/8/1977",62.5
"15/11/1977",63
"15/2/1978",63.3
"15/5/1978",62.3
"15/8/1978",62
"15/11/1978",61.6
"15/2/1979",61.8
"15/5/1979",61.9
"15/8/1979",62.2
"15/11/1979",62.5
"15/2/1980",62.7
"15/5/1980",62.7
"15/8/1980",63.5
"15/11/1980",63
"15/2/1981",62
"15/5/1981",62.4
"15/8/1981",61.8
"15/11/1981",61.9
"15/2/1982",63.3
"15/5/1982",63
"15/8/1982",63.9
"15/11/1982",65
"15/2/1983",64.9
"15/5/1983",64.8
"15/8/1983",64.9
"15/11/1983",64.5
"15/2/1984",63.7
"15/5/1984",63.6
"15/8/1984",63.5
"15/11/1984",63.8
"15/2/1985",64.2
"15/5/1985",64.4
"15/8/1985",64.7
"15/11/1985",64.5
"15/2/1986",64.5
"15/5/1986",64.7
"15/8/1986",65.3
"15/11/1986",65.4
"15/2/1987",65.2
"15/5/1987",65.6
"15/8/1987",65.9
"15/11/1987",65
"15/2/1988",65.8
"15/5/1988",65.5
"15/8/1988",65.8
"15/11/1988",65.8
"15/2/1989",65.4
"15/5/1989",65.5
"15/8/1989",65.6
"15/11/1989",65.9
"15/2/1990",65.8
"15/5/1990",65.8
"15/8/1990",66.3
"15/11/1990",66.7
"15/2/1991",66.5
"15/5/1991",66.6
"15/8/1991",66.5
"15/11/1991",66.3
"15/2/1992",66.9
"15/5/1992",66.7
"15/8/1992",66.8
"15/11/1992",66.9
"15/2/1993",66.9
"15/5/1993",67.3
"15/8/1993",67.6
"15/11/1993",67.3
"15/2/1994",67.2
"15/5/1994",66.9
"15/8/1994",67.2
"15/11/1994",67
"15/2/1995",66.9
"15/5/1995",67.4
"15/8/1995",67.4
"15/11/1995",67.3
"15/2/1996",67.5
"15/5/1996",67.3
"15/8/1996",67.2
"15/11/1996",67.1
"15/2/1997",67.2
"15/5/1997",66.5
"15/8/1997",66.7
"15/11/1997",66.9
"15/2/1998",66.8
"15/5/1998",67.4
"15/8/1998",67.4
"15/11/1998",67.3
"15/2/1999",67.3
"15/5/1999",68
"15/8/1999",68
"15/11/1999",67.8
"15/2/2000",68.7
"15/5/2000",68.1
"15/8/2000",68.8
"15/11/2000",69
"15/2/2001",69.4
"15/5/2001",69.3
"15/8/2001",69.6
"15/11/2001",70.3
"15/2/2002",70
"15/5/2002",70.2
"15/8/2002",70.3
"15/11/2002",70.4
"15/2/2003",70.5
"15/5/2003",70.4
"15/8/2003",70.2
"15/11/2003",70
"15/2/2004",70.2
"15/5/2004",70.1
"15/8/2004",70
"15/11/2004",70.2
"15/2/2005",69.8
"15/5/2005",70.1
"15/8/2005",70.2
"15/11/2005",70
"15/2/2006",69.7
"15/5/2006",69.8
"15/8/2006",70.1
"15/11/2006",70
"15/2/2007",70.4
